,Borough,Neighborhood,latitude,longitude
83,South Delhi,Tughlaqabad,28.5111925,77.2623265
84,South Delhi,Badarpur,28.4931698,77.3030239
85,South West Delhi,"Dabri, New Delhi",,
86,South West Delhi,Dwarka Sub City,,
87,South West Delhi,Delhi Cantonment,28.593833099999998,77.13497891459929
88,South West Delhi,Dhaula Kuan,28.5918905,77.1617034
89,South West Delhi,Inderpuri,28.6286841,77.1470979
90,South West Delhi,Mahipalpur,28.544537,77.1279229
91,South West Delhi,Moti Bagh,28.5778787,77.1741797
92,South West Delhi,Munirka,28.554886,77.1710841
93,South West Delhi,Najafgarh,28.612304,76.9823908
94,South West Delhi,Naraina,28.6220547,77.1386441
95,South West Delhi,Palam,28.585353,77.0924713
96,South West Delhi,Rama Krishna Puram,28.5755607,77.17230336809229
97,South West Delhi,Sagar Pur,,
98,South West Delhi,Vasant Kunj,28.5292495,77.1541335
99,South West Delhi,Vasant Vihar,28.56069055,77.16079073168567
100,West Delhi,Ashok Nagar,28.6419258,77.2217499
101,West Delhi,Bali Nagar,28.6541384,77.128178
102,West Delhi,Fateh Nagar,28.6316154,77.1008776
103,West Delhi,Kirti Nagar,28.6475771,77.1456436
104,West Delhi,Moti Nagar,28.657859,77.1424288
105,West Delhi,Paschim Vihar,28.6695782,77.095956
106,West Delhi,Patel Nagar,28.6598088,77.156957
107,West Delhi,Punjabi Bagh,28.668945,77.1324614
108,West Delhi,Rajouri Garden,28.6421518,77.11606037769263
109,West Delhi,Tihar Village,,
110,West Delhi,Tilak Nagar,28.63964975,77.09403946346426
111,West Delhi,Vikas Nagar,,
112,West Delhi,Vikaspuri,28.638419050000003,77.07083614685489
